Ticker,Date,article_count,neutral_count,positive_count,negative_count,neutral_avg,positive_avg,negative_avg,acquisition_avg,earnings_avg,production_avg,exploration_avg,green_energy_avg,Returns,Returns (no NaN),Returns Next Day,Returns Next Day(no NaN),Neu Ratio,Pos Ratio,Neg Ratio
PXD,2019-04-24,1,0,0,1,0.11791309590140976,0.37302769472201663,0.5090592205524445,0.8151147961616516,0.7469538052876791,0.6219803293546041,0.45371978481610614,0.2295450046658516,-0.01906445657735567,-0.01906445657735567,-0.028547882413784142,-0.028547882413784142,0.0,0.0,1.0
PXD,2019-05-02,1,0,0,1,0.08409162424504753,0.42805131028095883,0.487857053677241,0.7439591288566589,0.7099100947380066,0.5769607226053873,0.4401191423336665,0.1732181409994761,-0.028547882413784142,-0.028547882413784142,0.02376414618733569,0.02376414618733569,0.0,0.0,1.0
PXD,2019-05-16,1,0,0,1,0.12389170626799263,0.36613670488198596,0.5099715838829676,0.7896715005238851,0.7050961256027222,0.5924441913763682,0.4646068612734477,0.24060020844141636,0.02376414618733569,0.02376414618733569,-0.03014386228626853,-0.03014386228626853,0.0,0.0,1.0
PXD,2019-05-22,1,0,0,1,0.12241160900642468,0.3880576615532239,0.48953073223431903,0.7886548837025961,0.7059326767921448,0.5826274156570435,0.45755642652511597,0.2532673825820287,-0.03014386228626853,-0.03014386228626853,-0.014735055888238313,-0.014735055888238313,0.0,0.0,1.0
PXD,2019-05-30,1,0,0,1,0.12249449454247946,0.38709953675667447,0.49040598173936206,0.7883486350377401,0.7031240860621134,0.5727843244870504,0.44907822211583454,0.24584189057350156,-0.014735055888238313,-0.014735055888238313,-0.021573493082895134,-0.021573493082895134,0.0,0.0,1.0
PXD,2019-06-05,1,0,0,1,0.1237932828565438,0.36637092133363086,0.509835809469223,0.7912356456120809,0.7143333554267883,0.5905158817768097,0.4632270832856496,0.23414966215689978,-0.021573493082895134,-0.021573493082895134,0.01365696852205045,0.01365696852205045,0.0,0.0,1.0
PXD,2019-06-13,1,0,0,1,0.08667990503211814,0.4052452991406123,0.5080748051404953,0.7707923750082651,0.7339169383049011,0.5904918611049652,0.46553465723991394,0.16697790722052253,0.01365696852205045,0.01365696852205045,0.03974624470823418,0.03974624470823418,0.0,0.0,1.0
PXD,2019-06-20,1,0,0,1,0.0863916023323933,0.40741931398709613,0.5061891227960587,0.7698096334934235,0.7281465232372284,0.5855378111203512,0.4603271236022313,0.1598389570911725,0.03974624470823418,0.03974624470823418,-0.025320471207879613,-0.025320471207879613,0.0,0.0,1.0
PXD,2019-06-24,1,0,1,0,0.15503425958255923,0.6822289728249112,0.16273676572988427,0.8555137912432352,0.5584714313348135,0.3975741043686867,0.2475857759515444,0.13537729376306132,-0.025320471207879613,-0.025320471207879613,-0.020426026820217436,-0.020426026820217436,0.0,1.0,0.0
PXD,2019-06-25,1,0,1,0,0.17235020423928893,0.6207557340773443,0.2068940519044796,0.9098738531271616,0.6419563988844553,0.5074318225185076,0.353404534359773,0.14523315150290722,-0.020426026820217436,-0.020426026820217436,0.0202240115657093,0.0202240115657093,0.0,1.0,0.0
PXD,2019-06-28,1,0,0,1,0.08626659959554667,0.41139065225919086,0.5023427704970042,0.7697495718797048,0.7278438707192739,0.5889202753702799,0.4641547550757726,0.15524785965681073,0.0202240115657093,0.0202240115657093,0.007266738881863022,0.007266738881863022,0.0,0.0,1.0
PXD,2019-07-03,1,0,0,1,0.12286941582957898,0.37717246015866596,0.4999581476052602,0.790087620417277,0.710834781328837,0.5724874834219614,0.46036598086357117,0.24303461362918213,0.007266738881863022,0.007266738881863022,0.022600677628091148,0.022600677628091148,0.0,0.0,1.0
PXD,2019-07-10,1,0,0,1,0.1236224311093489,0.3708881139755249,0.5054894685745239,0.7943909366925558,0.7180854678153992,0.5933842559655508,0.46294185519218445,0.23764963696400324,0.022600677628091148,0.022600677628091148,-0.0017602430799554813,-0.0017602430799554813,0.0,0.0,1.0
PXD,2019-07-18,1,0,0,1,0.08633541626234847,0.410210944712162,0.5034536272287369,0.8453836043675741,0.8039009173711141,0.6727882027626038,0.5351771513621012,0.229243258635203,-0.0017602430799554813,-0.0017602430799554813,-0.02671132233848772,-0.02671132233848772,0.0,0.0,1.0
PXD,2019-07-25,1,0,0,1,0.08625922848780947,0.4130506192644437,0.5006901770830154,0.7621290882428488,0.7209866046905518,0.5750151574611664,0.45318179329236347,0.1596883783737818,-0.02671132233848772,-0.02671132233848772,-0.07592004218316317,-0.07592004218316317,0.0,0.0,1.0
PXD,2019-08-01,2,0,1,1,0.08529861969873302,0.5458528697490692,0.36884854485591245,0.8695542862017949,0.7210086037715275,0.5445328404506047,0.4010408173004786,0.17870420648250726,-0.07592004218316317,-0.07592004218316317,-0.0022736094042721255,-0.0022736094042721255,0.0,0.5,0.5
PXD,2019-08-02,1,0,1,0,0.0330379982478916,0.797526627779007,0.16943539958447215,0.8184104263782501,0.5433320552110672,0.2264954894781112,0.1833658143877983,0.05255342129385095,-0.0022736094042721255,-0.0022736094042721255,0.015802933794598628,0.015802933794598628,0.0,1.0,0.0
PXD,2019-08-07,1,0,0,1,0.10375376728673773,0.36040494839350384,0.5358412762482961,0.8193548917770386,0.7560393015543619,0.6198581457138062,0.5300287306308746,0.34023527304331463,0.015802933794598628,0.015802933794598628,0.0023630393881675094,0.0023630393881675094,0.0,0.0,1.0
PXD,2019-08-15,1,0,0,1,0.08330308770140006,0.42288272827863693,0.4938142051299413,0.7307150363922119,0.7002805570761362,0.5493214329083761,0.4402381628751755,0.15428686638673142,0.0023630393881675094,0.0023630393881675094,0.0026858776691440767,0.0026858776691440767,0.0,0.0,1.0
PXD,2019-08-21,1,0,0,1,0.115359258527557,0.3672165746490161,0.5174241413672765,0.804063618183136,0.7442769209543864,0.5984802146752676,0.46054863929748535,0.2377314666906992,0.0026858776691440767,0.0026858776691440767,0.021276678572787144,0.021276678572787144,0.0,0.0,1.0
PXD,2019-08-29,1,0,0,1,0.11523864852885403,0.36548948536316556,0.5192718505859375,0.8011926412582397,0.7415351867675781,0.6078240474065145,0.4707237780094147,0.2337173521518707,0.021276678572787144,0.021276678572787144,0.014045387621099747,0.014045387621099747,0.0,0.0,1.0
PXD,2019-09-04,1,0,0,1,0.12140450378259017,0.35752344876527786,0.5210720350344976,0.8140403032302856,0.7276943723360697,0.5685530503590902,0.4646889766057332,0.3045528382062912,0.014045387621099747,0.014045387621099747,-0.009944317348077325,-0.009944317348077325,0.0,0.0,1.0
PXD,2019-09-11,1,0,0,1,0.06235910095274442,0.09097203463315959,0.846668827533722,0.5566038906574249,0.5016573905944824,0.4048382997512817,0.36283050775527953,0.257288159430027,-0.009944317348077325,-0.009944317348077325,-0.022936771802838596,-0.022936771802838596,0.0,0.0,1.0
PXD,2019-09-12,1,0,0,1,0.11558493723471956,0.3745231628417969,0.5098918577035269,0.8017252683639526,0.7400623559951782,0.5816491742928823,0.4600879450639089,0.23609757920106247,-0.022936771802838596,-0.022936771802838596,-0.013355265492253743,-0.013355265492253743,0.0,0.0,1.0
PXD,2019-09-19,1,0,0,1,0.1155982228616873,0.3740826298793157,0.5103191335995992,0.7979069352149963,0.7334505120913187,0.5770698885122935,0.45119667053222656,0.22864791750907895,-0.013355265492253743,-0.013355265492253743,-0.01072662918372358,-0.01072662918372358,0.0,0.0,1.0
PXD,2019-09-26,1,0,0,1,0.11558875503639376,0.376323568324248,0.5080876598755518,0.795917292435964,0.7326460480690002,0.5738254090150198,0.45278387268384296,0.2300117313861846,-0.01072662918372358,-0.01072662918372358,0.02470449051999757,0.02470449051999757,0.0,0.0,1.0
